pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
24,6,7,11.6435261385,12.4623992544,1.07032861919,0.00118144856494
25,6,7,11.6532801495,12.1411021708,1.04186134848,0.000426238440825
26,6,7,11.2528363268,12.3285826816,1.09559779629,0.00214882465179
27,6,7,11.6692993889,12.2913990276,1.05331079596,0.000686226749364
28,6,7,11.425963089,12.2234139992,1.06979288345,0.00116391029096
29,6,7,11.4738155469,12.5749374242,1.0959682394,0.00216501497205
30,6,7,12.326950906,12.6761385518,1.02832717096,0.000196897436146
31,6,7,13.3740963176,12.8970377463,0.96432965937,0.000325865949646
32,6,7,11.4753246262,12.218324272,1.06474759277,0.00100491189601
33,6,7,11.4801788759,12.2243525,1.06482247639,0.00100718997925
34,6,7,12.3493239229,12.7651952405,1.03367563441,0.000277303667328
35,6,7,11.661846644,12.1356513111,1.04062861411,0.000401823455357
36,6,7,11.6689974248,12.2962557507,1.05375426038,0.000697493494463
37,6,7,11.2677576063,12.3179959909,1.09320739949,0.00204572789457
38,6,7,12.2063441663,12.7539370277,1.04486133227,0.000488576025203
39,6,7,11.6423249035,12.1396551046,1.04271743017,0.000443605557914
40,6,7,11.4609723394,12.3818426477,1.08034835798,0.00153240758386
41,6,7,12.5974768615,12.4513125364,0.988397333319,3.39180839306e-05
42,6,7,11.4627740279,12.3797027267,1.07999186729,0.00151917823463
43,6,7,11.3961013713,12.3761333764,1.08599712947,0.0017492755876
44,6,7,11.6298492564,12.4718794272,1.07240250086,0.00125052073084
45,6,7,12.3842025309,12.5319458631,1.01192998352,3.53006466501e-05
46,6,7,11.3721266472,12.5466698442,1.10328263423,0.00249634270696
47,6,7,11.6760343707,12.1537361115,1.04091301255,0.000407393919931
48,6,7,12.6186164495,12.6239952293,1.00042625749,4.54109572871e-08
49,6,7,12.3740761469,12.3810494745,1.0005635433,7.9365445747e-08
50,6,7,11.6730697059,12.1388937859,1.03990587666,0.000387835407001
