year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2023,Vecchia_mm20,2023-07-27,8.4956,0.5485,0.7458,7.7740,-0.0049,-0.0081,2.4376,1.2017,58.6061
2023,Corridor_4x4_lag643,2023-07-28,5.1909,0.1919,0.2291,1.8630,-0.0027,0.0071,1.3049,1.0349,35.4137
2023,Debiased_Whittle,2023-07-28,3.4570,0.1832,0.1838,1.5317,0.0001,-0.0000,0.9815,-577612.6080,86.3089
2023,Vecchia_mm20,2023-07-28,6.4773,0.4850,0.6247,5.0087,-0.0048,-0.0061,1.7798,1.0855,60.6906
2024,Corridor_4x4_lag643,2024-07-01,11.6425,0.1815,0.2129,1.1930,-0.0142,-0.1970,0.5791,1.1909,21.8654
2024,Debiased_Whittle,2024-07-1,10.9915,0.2082,0.2854,1.5142,0.0000,-0.2065,0.7321,-40421.4560,66.3165
2024,Vecchia_mm20,2024-07-1,13.5816,0.3276,0.3979,1.9409,-0.0099,-0.1725,1.4232,1.3440,32.0127
2024,Corridor_4x4_lag643,2024-07-02,14.7694,0.1808,0.2234,1.5481,-0.0218,-0.2504,1.6144,1.3973,29.1355
2024,Debiased_Whittle,2024-07-2,12.1126,0.1691,0.2126,1.6113,-0.0249,-0.2669,0.8446,263239.3760,87.0911
2024,Vecchia_mm20,2024-07-2,15.3144,0.2670,0.3676,2.1216,-0.0189,-0.2001,2.6291,1.5294,38.3367
2024,Corridor_4x4_lag643,2024-07-03,12.9742,0.1626,0.1907,1.3290,-0.0624,-0.2706,1.4613,1.3784,31.2335
2024,Debiased_Whittle,2024-07-3,11.1961,0.1585,0.1711,1.3258,-0.0655,-0.2808,1.1950,409070.8480,93.8909
2024,Vecchia_mm20,2024-07-3,14.0653,0.2874,0.3729,2.2141,-0.0568,-0.2465,2.4886,1.4824,33.1177
2024,Corridor_4x4_lag643,2024-07-04,12.7403,0.1570,0.2123,1.6480,0.0164,-0.1662,0.9054,1.2895,28.2136
2024,Debiased_Whittle,2024-07-4,11.9192,0.1207,0.1577,1.4714,0.0103,-0.1701,0.7026,461061.6960,96.1199
2024,Vecchia_mm20,2024-07-4,15.8208,0.2932,0.4480,2.9139,0.0157,-0.1459,1.9332,1.4315,46.1453
2024,Corridor_4x4_lag643,2024-07-05,12.8333,0.1594,0.1958,1.2907,0.0527,-0.2159,1.2619,1.3518,26.4310
2024,Debiased_Whittle,2024-07-5,11.5622,0.1267,0.1609,1.0711,0.0730,-0.2430,0.9266,470631.4400,93.8702
2024,Vecchia_mm20,2024-07-5,14.0653,0.2695,0.3901,2.1362,0.0467,-0.1759,2.1352,1.4492,42.1455
2024,Corridor_4x4_lag643,2024-07-06,12.5827,0.1928,0.2302,1.3008,0.0278,-0.2959,1.6069,1.3366,22.5727
2024,Debiased_Whittle,2024-07-6,12.6908,0.1705,0.1932,1.5510,0.0207,-0.3509,0.8884,354651.8560,93.8967
2024,Vecchia_mm20,2024-07-6,14.6406,0.3389,0.4935,2.3595,0.0272,-0.2188,2.6609,1.4604,40.0209
2024,Corridor_4x4_lag643,2024-07-07,14.6350,0.1863,0.2619,1.4712,-0.0010,-0.3540,1.1503,1.3178,22.8074
2024,Debiased_Whittle,2024-07-7,12.0320,0.1447,0.2523,1.3125,0.0129,-0.4180,1.0250,310802.4320,86.8679
2024,Vecchia_mm20,2024-07-7,17.6936,0.3092,0.5092,2.2488,0.0105,-0.3088,1.8022,1.4424,37.3810
2024,Corridor_4x4_lag643,2024-07-08,13.2374,0.1644,0.1641,0.9607,0.0060,-0.3089,0.4722,1.2936,23.7577
2024,Debiased_Whittle,2024-07-8,12.4209,0.1291,0.1250,0.9131,0.0037,-0.3479,0.3221,465632.3200,91.4957
2024,Vecchia_mm20,2024-07-8,15.5298,0.2667,0.3092,1.4487,0.0012,-0.2718,1.5783,1.4720,32.6122
2024,Corridor_4x4_lag643,2024-07-09,7.9167,0.1912,0.2162,1.0915,0.0231,-0.2830,1.6265,1.2143,26.0895
2024,Debiased_Whittle,2024-07-9,7.8551,0.1563,0.1946,1.1264,0.0199,-0.2827,1.0872,68559.3600,80.0981
2024,Vecchia_mm20,2024-07-9,9.4306,0.2876,0.3430,1.5224,0.0240,-0.1746,1.1868,1.2305,31.9674
2024,Corridor_4x4_lag643,2024-07-10,5.4732,0.1510,0.1864,0.9710,0.0004,-0.0552,0.6728,0.9821,20.6541
2024,Debiased_Whittle,2024-07-10,4.4278,0.1282,0.1581,0.9887,-0.0005,0.0692,0.3692,-600322.8960,73.2463
2024,Vecchia_mm20,2024-07-10,5.3962,0.2101,0.3046,1.4134,-0.0045,-0.0659,1.2266,1.1199,36.8428
2024,Corridor_4x4_lag643,2024-07-11,7.2459,0.2278,0.2514,1.2726,-0.0040,-0.0707,0.6725,0.9673,17.1163
2024,Debiased_Whittle,2024-07-11,5.6195,0.1425,0.1285,0.8880,-0.0067,0.0858,0.4932,-296376.4000,73.1328
2024,Vecchia_mm20,2024-07-11,8.7132,0.4236,0.5315,2.2181,0.0026,-0.0651,1.2602,1.1170,36.6711
2024,Corridor_4x4_lag643,2024-07-12,8.8398,0.1699,0.2097,1.1815,-0.0009,0.0049,0.7322,1.1242,24.4342
