operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
exact_precision,none,128,6,801,960,160,177.15979178326995,0.6482239284532085,0.5495774982414994,-0.09864643021170916
exact_precision,none,128,7,961,1120,160,165.8484648329296,0.6383480903034894,0.6201938423894308,-0.01815424791405862
exact_precision,none,128,8,1121,1280,160,139.93567399534072,0.6142461883754265,0.5448856683367902,-0.06936052003863635
exact_precision,none,128,9,1281,1440,160,171.49389559820065,0.5932018363977178,0.6162637416102819,0.023061905212564016
exact_precision,none,128,10,1441,1600,160,177.03871939407873,0.8608671712265362,0.8167268391954307,-0.04414033203110557
exact_precision,none,128,11,1601,1760,160,128.53125017412367,0.8110847998659765,1.1840451972266115,0.372960397360635
exact_precision,none,128,12,1761,1920,160,192.34296199516393,0.7807463675692603,0.5344191158539279,-0.24632725171533243
exact_precision,none,128,13,1921,2080,160,160.37080031557457,0.9560841349551126,0.9660930491705024,0.010008914215389852
exact_precision,none,128,14,2081,2240,160,137.4158555992649,0.9198206874633883,0.9336332626975619,0.013812575234173563
exact_precision,none,128,15,2241,2400,160,182.05795480822235,0.7928534580087074,0.8245457243544817,0.03169226634577427
exact_precision,none,128,16,2401,2560,160,131.87877804621394,0.9553786451631623,1.165873159792383,0.21049451462922075
exact_precision,none,128,17,2561,2720,160,177.15165198769546,0.8756663609983292,0.7697806013111247,-0.10588575968720448
exact_precision,none,128,18,2721,2880,160,158.91141011247282,0.8326791166708034,0.9848222442698528,0.15214312759904935
exact_precision,none,128,19,2881,3040,160,153.55589244499015,1.0547110897396266,0.8614466422226967,-0.19326444751692984
exact_precision,none,128,20,3041,3200,160,162.25650430626774,0.9690712530176228,1.0056627581065432,0.036591505088920395
exact_precision,none,256,1,1,160,160,158.38130977402724,2.3437198272475195,2.3666921556177205,0.022972328370201023
exact_precision,none,256,2,161,320,160,153.76559735091186,1.208799289528254,1.2808772093837697,0.0720779198555157
exact_precision,none,256,3,321,480,160,162.3421766271315,1.0169148561697305,0.9493548455713725,-0.06756001059835803
exact_precision,none,256,4,481,640,160,158.07837909487472,0.8944547446405672,0.9840359649122424,0.08958122027167525
exact_precision,none,256,5,641,800,160,156.67399373154035,0.8507717127712816,0.83948874748559,-0.011282965285691615
exact_precision,none,256,6,801,960,160,164.60257374944752,0.6482239284532085,0.5779889423327369,-0.07023498612047163
exact_precision,none,256,7,961,1120,160,166.62474921574733,0.6383480903034894,0.6202465649561214,-0.018101525347367975
exact_precision,none,256,8,1121,1280,160,173.3169374011461,0.6142461883754265,0.6075644228326371,-0.006681765542789431
exact_precision,none,256,9,1281,1440,160,142.60152881753788,0.5932018363977178,0.6159780299937964,0.02277619359607852
exact_precision,none,256,10,1441,1600,160,174.89145195868787,0.8608671712265362,0.8328002369274037,-0.02806693429913254
exact_precision,none,256,11,1601,1760,160,162.51286551081034,0.8110847998659765,0.7468613158513852,-0.06422348401459133
exact_precision,none,256,12,1761,1920,160,157.39926896477368,0.7807463675692603,0.8268775112465748,0.04613114367731452
exact_precision,none,256,13,1921,2080,160,161.60242493718874,0.9560841349551126,0.9668856065539146,0.01080147159880207
exact_precision,none,256,14,2081,2240,160,158.33591019071446,0.9198206874633883,0.9194910490627493,-0.00032963840063904293
exact_precision,none,256,15,2241,2400,160,157.1993689344731,0.7928534580087074,0.8295579579716927,0.036704499962985304
exact_precision,none,256,16,2401,2560,160,146.75812106891453,0.9553786451631623,0.9733975672657131,0.01801892210255085
exact_precision,none,256,17,2561,2720,160,162.0136298638272,0.8756663609983292,0.882995996325056,0.007329635326726813
exact_precision,none,256,18,2721,2880,160,163.10348853864843,0.8326791166708034,0.8771588653729498,0.04447974870214644
exact_precision,none,256,19,2881,3040,160,158.81928955917556,1.0547110897396266,0.982148373917895,-0.07256271582173157
exact_precision,none,256,20,3041,3200,160,160.97693471042248,0.9690712530176228,0.9927932745976404,0.023722021580017683
exact_precision,none,512,1,1,160,160,157.06234954647238,2.3437198272475195,2.3820358542113,0.03831602696378056
exact_precision,none,512,2,161,320,160,156.59593472867613,1.208799289528254,1.2698518387696043,0.061052549241350285
exact_precision,none,512,3,321,480,160,163.2091243325151,1.0169148561697305,0.9626234423099358,-0.054291413859794746
exact_precision,none,512,4,481,640,160,160.65535906249534,0.8944547446405672,0.911772558037281,0.017317813396713788
exact_precision,none,512,5,641,800,160,159.13070008536067,0.8507717127712816,0.8288257564548849,-0.02194595631639673
